Titel                                                           06.08.2018 11:23
________________________________________________________________________________

Titel
Auswertungs-Kategorien:

Kurvenname:
  TMA CTE M21E Platten SA11 Q1, 06.08.2018 10:45:47
  Durchgeführt am06.08.2018 10:45:46
Kurvenwerte:
       Index           t          Ts          Tr        Wert
                           [s]           [°C]           [°C]           [µm]
              0              0         24,102         20,000        6876,66
              1              1         24,154         20,050        6876,66
              2              2         24,204         20,100        6876,66
              3              3         24,252         20,150        6876,66
              4              4         24,295         20,200        6876,66
              5              5         24,343         20,250        6876,65
              6              6         24,393         20,300        6876,65
              7              7         24,441         20,350        6876,65
              8              8         24,476         20,400        6876,65
              9              9         24,521         20,450        6876,65
             10             10         24,564         20,500        6876,65
             11             11         24,604         20,550        6876,65
             12             12         24,641         20,600        6876,65
             13             13         24,675         20,650        6876,64
             14             14         24,716         20,700        6876,64
             15             15         24,757         20,750        6876,64
             16             16         24,804         20,800        6876,64
             17             17         24,832         20,850        6876,64
             18             18         24,865         20,900        6876,64
             19             19         24,895         20,950        6876,64
             20             20         24,929         21,000        6876,63
             21             21         24,957         21,050        6876,63
             22             22         24,986         21,100        6876,63
             23             23         25,020         21,150        6876,63
             24             24         25,046         21,200        6876,63
             25             25         25,076         21,250        6876,63
             26             26         25,108         21,300        6876,63
             27             27         25,146         21,350        6876,62
             28             28         25,177         21,400        6876,62
             29             29         25,207         21,450        6876,62
             30             30         25,235         21,500        6876,62
             31             31         25,266         21,550        6876,62
             32             32         25,295         21,600        6876,62
             33             33         25,326         21,650        6876,61
             34             34         25,352         21,700        6876,61
             35             35         25,379         21,750        6876,61
             36             36         25,407         21,800        6876,61
             37             37         25,434         21,850        6876,61
             38             38         25,471         21,900         6876,6
             39             39         25,501         21,950         6876,6
             40             40         25,531         22,000         6876,6
             41             41         25,559         22,050         6876,6
             42             42         25,583         22,100         6876,6
             43             43         25,612         22,150        6876,59
             44             44         25,640         22,200        6876,59
             45             45         25,672         22,250        6876,59
             46             46         25,699         22,300        6876,59
             47             47         25,724         22,350        6876,59
             48             48         25,752         22,400        6876,58
             49             49         25,791         22,450        6876,58
             50             50         25,819         22,500        6876,58
             51             51         25,849         22,550        6876,58
             52             52         25,879         22,600        6876,58
             53             53         25,903         22,650        6876,58
             54             54         25,936         22,700        6876,57
             55             55         25,969         22,750        6876,57
             56             56         25,997         22,800        6876,57
             57             57         26,021         22,850        6876,57
             58             58         26,055         22,900        6876,57
             59             59         26,094         22,950        6876,57
             60             60         26,127         23,000        6876,57
             61             61         26,159         23,050        6876,57
             62             62         26,185         23,100        6876,56
             63             63         26,210         23,150        6876,56
             64             64         26,241         23,200        6876,56
             65             65         26,273         23,250        6876,56
             66             66         26,303         23,300        6876,56
             67             67         26,333         23,350        6876,56
             68             68         26,365         23,400        6876,56
             69             69         26,390         23,450        6876,56
             70             70         26,426         23,500        6876,55
             71             71         26,462         23,550        6876,55
             72             72         26,496         23,600        6876,55
             73             73         26,530         23,650        6876,55
             74             74         26,562         23,700        6876,55
             75             75         26,600         23,750        6876,55
             76             76         26,634         23,800        6876,55
             77             77         26,664         23,850        6876,55
             78             78         26,696         23,900        6876,55
             79             79         26,726         23,950        6876,54
             80             80         26,756         24,000        6876,54
             81             81         26,788         24,050        6876,54
             82             82         26,819         24,100        6876,54
             83             83         26,852         24,150        6876,54
             84             84         26,890         24,200        6876,54
             85             85         26,920         24,250        6876,54
             86             86         26,954         24,300        6876,54
             87             87         26,991         24,350        6876,54
             88             88         27,034         24,400        6876,54
             89             89         27,070         24,450        6876,54
             90             90         27,106         24,500        6876,54
             91             91         27,142         24,550        6876,54
             92             92         27,178         24,600        6876,53
             93             93         27,222         24,650        6876,53
             94             94         27,254         24,700        6876,53
             95             95         27,294         24,750        6876,53
             96             96         27,330         24,800        6876,53
             97             97         27,365         24,850        6876,53
             98             98         27,397         24,900        6876,53
             99             99         27,433         24,950        6876,53
            100            100         27,472         25,000        6876,53
            101            101         27,506         25,050        6876,53
            102            102         27,538         25,100        6876,53
            103            103         27,574         25,150        6876,53
            104            104         27,617         25,200        6876,53
            105            105         27,648         25,250        6876,53
            106            106         27,682         25,300        6876,53
            107            107         27,723         25,350        6876,53
            108            108         27,764         25,400        6876,53
            109            109         27,807         25,450        6876,53
            110            110         27,840         25,500        6876,53
            111            111         27,881         25,550        6876,53
            112            112         27,924         25,600        6876,53
            113            113         27,963         25,650        6876,53
            114            114         28,001         25,700        6876,53
            115            115         28,039         25,750        6876,53
            116            116         28,080         25,800        6876,53
            117            117         28,127         25,850        6876,53
            118            118         28,162         25,900        6876,53
            119            119         28,202         25,950        6876,53
            120            120         28,246         26,000        6876,53
            121            121         28,283         26,050        6876,53
            122            122         28,324         26,100        6876,53
            123            123         28,365         26,150        6876,53
            124            124         28,410         26,200        6876,53
            125            125         28,446         26,250        6876,53
            126            126         28,489         26,300        6876,53
            127            127         28,535         26,350        6876,53
            128            128         28,573         26,400        6876,53
            129            129         28,608         26,450        6876,53
            130            130         28,644         26,500        6876,53
            131            131         28,681         26,550        6876,53
            132            132         28,725         26,600        6876,53
            133            133         28,762         26,650        6876,53
            134            134         28,802         26,700        6876,53
            135            135         28,835         26,750        6876,53
            136            136         28,873         26,800        6876,53
            137            137         28,912         26,850        6876,52
            138            138         28,947         26,900        6876,52
            139            139         28,984         26,950        6876,52
            140            140         29,017         27,000        6876,52
            141            141         29,051         27,050        6876,52
            142            142         29,086         27,100        6876,52
            143            143         29,125         27,150        6876,52
            144            144         29,160         27,200        6876,52
            145            145         29,195         27,250        6876,52
            146            146         29,230         27,300        6876,52
            147            147         29,265         27,350        6876,52
            148            148         29,299         27,400        6876,52
            149            149         29,332         27,450        6876,52
            150            150         29,373         27,500        6876,52
            151            151         29,406         27,550        6876,52
            152            152         29,446         27,600        6876,52
            153            153         29,483         27,650        6876,52
            154            154         29,520         27,700        6876,52
            155            155         29,557         27,750        6876,52
            156            156         29,593         27,800        6876,52
            157            157         29,631         27,850        6876,52
            158            158         29,665         27,900        6876,52
            159            159         29,696         27,950        6876,52
            160            160         29,736         28,000        6876,52
            161            161         29,775         28,050        6876,52
            162            162         29,810         28,100        6876,52
            163            163         29,846         28,150        6876,52
            164            164         29,878         28,200        6876,52
            165            165         29,923         28,250        6876,52
            166            166         29,958         28,300        6876,52
            167            167         29,994         28,350        6876,52
            168            168         30,032         28,400        6876,52
            169            169         30,073         28,450        6876,52
            170            170         30,109         28,500        6876,51
            171            171         30,146         28,550        6876,51
            172            172         30,185         28,600        6876,51
            173            173         30,222         28,650        6876,51
            174            174         30,262         28,700        6876,51
            175            175         30,299         28,750        6876,51
            176            176         30,341         28,800        6876,51
            177            177         30,379         28,850        6876,51
            178            178         30,416         28,900        6876,51
            179            179         30,449         28,950        6876,51
            180            180         30,488         29,000        6876,51
            181            181         30,530         29,050        6876,51
            182            182         30,565         29,100        6876,51
            183            183         30,610         29,150        6876,51
            184            184         30,651         29,200        6876,51
            185            185         30,689         29,250        6876,51
            186            186         30,726         29,300        6876,51
            187            187         30,762         29,350        6876,51
            188            188         30,800         29,400        6876,51
            189            189         30,838         29,450        6876,51
            190            190         30,877         29,500        6876,51
            191            191         30,918         29,550        6876,51
            192            192         30,956         29,600        6876,51
            193            193         30,994         29,650        6876,51
            194            194         31,033         29,700        6876,51
            195            195         31,069         29,750        6876,51
            196            196         31,109         29,800        6876,51
            197            197         31,147         29,850        6876,51
            198            198         31,192         29,900        6876,51
            199            199         31,224         29,950        6876,51
            200            200         31,261         30,000        6876,51
            201            201         31,304         30,050        6876,51
            202            202         31,342         30,100        6876,51
            203            203         31,379         30,150        6876,51
            204            204         31,417         30,200        6876,51
            205            205         31,469         30,250        6876,51
            206            206         31,496         30,300        6876,51
            207            207         31,532         30,350        6876,51
            208            208         31,574         30,400        6876,51
            209            209         31,613         30,450        6876,51
            210            210         31,651         30,500        6876,51
            211            211         31,687         30,550        6876,51
            212            212         31,730         30,600        6876,51
            213            213         31,758         30,650        6876,51
            214            214         31,799         30,700        6876,51
            215            215         31,848         30,750        6876,51
            216            216         31,885         30,800         6876,5
            217            217         31,922         30,850         6876,5
            218            218         31,967         30,900         6876,5
            219            219         32,000         30,950         6876,5
            220            220         32,037         31,000         6876,5
            221            221         32,078         31,050         6876,5
            222            222         32,122         31,100         6876,5
            223            223         32,161         31,150         6876,5
            224            224         32,196         31,200         6876,5
            225            225         32,241         31,250         6876,5
            226            226         32,280         31,300         6876,5
            227            227         32,320         31,350         6876,5
            228            228         32,354         31,400         6876,5
            229            229         32,394         31,450         6876,5
            230            230         32,434         31,500         6876,5
            231            231         32,475         31,550         6876,5
            232            232         32,517         31,600         6876,5
            233            233         32,556         31,650         6876,5
            234            234         32,597         31,700         6876,5
            235            235         32,639         31,750         6876,5
            236            236         32,680         31,800         6876,5
            237            237         32,722         31,850         6876,5
            238            238         32,760         31,900         6876,5
            239            239         32,800         31,950         6876,5
            240            240         32,844         32,000         6876,5
            241            241         32,883         32,050         6876,5
            242            242         32,924         32,100         6876,5
            243            243         32,967         32,150         6876,5
            244            244         33,000         32,200         6876,5
            245            245         33,050         32,250         6876,5
            246            246         33,092         32,300         6876,5
            247            247         33,127         32,350         6876,5
            248            248         33,174         32,400         6876,5
            249            249         33,216         32,450         6876,5
            250            250         33,256         32,500         6876,5
            251            251         33,300         32,550         6876,5
            252            252         33,347         32,600         6876,5
            253            253         33,384         32,650         6876,5
            254            254         33,425         32,700         6876,5
            255            255         33,468         32,750         6876,5
            256            256         33,512         32,800         6876,5
            257            257         33,554         32,850         6876,5
            258            258         33,598         32,900         6876,5
            259            259         33,645         32,950         6876,5
            260            260         33,692         33,000         6876,5
            261            261         33,737         33,050         6876,5
            262            262         33,776         33,100         6876,5
            263            263         33,819         33,150         6876,5
            264            264         33,862         33,200         6876,5
            265            265         33,909         33,250         6876,5
            266            266         33,952         33,300         6876,5
            267            267         33,997         33,350         6876,5
            268            268         34,041         33,400         6876,5
            269            269         34,084         33,450         6876,5
            270            270         34,131         33,500         6876,5
            271            271         34,177         33,550         6876,5
            272            272         34,215         33,600        6876,51
            273            273         34,259         33,650        6876,51
            274            274         34,311         33,700        6876,51
            275            275         34,360         33,750        6876,51
            276            276         34,405         33,800        6876,51
            277            277         34,450         33,850        6876,51
            278            278         34,490         33,900        6876,51
            279            279         34,540         33,950        6876,51
            280            280         34,582         34,000        6876,51
            281            281         34,633         34,050        6876,51
            282            282         34,678         34,100        6876,51
            283            283         34,724         34,150        6876,51
            284            284         34,768         34,200        6876,51
            285            285         34,818         34,250        6876,51
            286            286         34,865         34,300        6876,51
            287            287         34,912         34,350        6876,51
            288            288         34,957         34,400         6876,5
            289            289         35,000         34,450         6876,5
            290            290         35,053         34,500         6876,5
            291            291         35,103         34,550         6876,5
            292            292         35,145         34,600         6876,5
            293            293         35,193         34,650         6876,5
            294            294         35,242         34,700         6876,5
            295            295         35,293         34,750         6876,5
            296            296         35,335         34,800         6876,5
            297            297         35,388         34,850         6876,5
            298            298         35,436         34,900         6876,5
            299            299         35,484         34,950         6876,5
            300            300         35,531         35,000         6876,5
            301            301         35,572         35,050         6876,5
            302            302         35,626         35,100         6876,5
            303            303         35,670         35,150         6876,5
            304            304         35,715         35,200         6876,5
            305            305         35,770         35,250         6876,5
            306            306         35,818         35,300         6876,5
            307            307         35,864         35,350         6876,5
            308            308         35,910         35,400         6876,5
            309            309         35,960         35,450         6876,5
            310            310         36,010         35,500         6876,5
            311            311         36,057         35,550        6876,51
            312            312         36,106         35,600        6876,51
